,Date,Close
,2013-01-02,2031.099976
,2013-01-03,2019.410034
,2013-01-04,2011.939941
,2013-01-07,2011.25
,2013-01-08,1997.939941
,2013-01-09,1991.810059
,2013-01-10,2006.800049
,2013-01-11,1996.670044
,2013-01-14,2007.040039
,2013-01-15,1983.73999
,2013-01-16,1977.449951
,2013-01-17,1974.27002
,2013-01-18,1987.849976
,2013-01-21,1986.859985
,2013-01-22,1996.52002
,2013-01-23,1980.410034
,2013-01-24,1964.47998
,2013-01-25,1946.689941
,2013-01-28,1939.709961
,2013-01-29,1955.959961
,2013-01-30,1964.430054
,2013-01-31,1961.939941
,2013-02-01,1957.790039
,2013-02-04,1953.209961
,2013-02-05,1938.180054
,2013-02-06,1936.189941
,2013-02-07,1931.77002
,2013-02-08,1950.900024
,2013-02-12,1945.790039
,2013-02-13,1976.069946
,2013-02-14,1979.609985
,2013-02-15,1981.180054
,2013-02-18,1981.910034
,2013-02-19,1985.829956
,2013-02-20,2024.640015
,2013-02-21,2015.219971
,2013-02-22,2018.890015
,2013-02-25,2009.52002
,2013-02-26,2000.01001
,2013-02-27,2004.040039
,2013-02-28,2026.48999
,2013-03-04,2013.150024
,2013-03-05,2016.609985
,2013-03-06,2020.73999
,2013-03-07,2004.400024
,2013-03-08,2006.01001
,2013-03-11,2003.349976
,2013-03-12,1993.339966
,2013-03-13,1999.72998
,2013-03-14,2002.130005
,2013-03-15,1986.5
,2013-03-18,1968.180054
,2013-03-19,1978.560059
,2013-03-20,1959.410034
,2013-03-21,1950.819946
,2013-03-22,1948.709961
,2013-03-25,1977.670044
,2013-03-26,1983.699951
,2013-03-27,1993.439941
,2013-03-28,1993.52002
,2013-03-29,2004.890015
,2013-04-01,1995.98999
,2013-04-02,1986.150024
,2013-04-03,1983.219971
,2013-04-04,1959.449951
,2013-04-05,1927.22998
,2013-04-08,1918.689941
,2013-04-09,1920.73999
,2013-04-10,1935.579956
,2013-04-11,1949.800049
,2013-04-12,1924.22998
,2013-04-15,1920.449951
,2013-04-16,1922.209961
,2013-04-17,1923.839966
,2013-04-18,1900.060059
,2013-04-19,1906.75
,2013-04-22,1926.310059
,2013-04-23,1918.630005
,2013-04-24,1935.310059
,2013-04-25,1951.599976
,2013-04-26,1944.560059
,2013-04-29,1940.699951
,2013-04-30,1963.949951
,2013-05-02,1957.209961
,2013-05-03,1965.709961
,2013-05-06,1961.47998
,2013-05-07,1954.349976
,2013-05-08,1956.449951
,2013-05-09,1979.449951
,2013-05-10,1944.75
,2013-05-13,1948.699951
,2013-05-14,1968.829956
,2013-05-15,1971.26001
,2013-05-16,1986.810059
,2013-05-20,1982.430054
,2013-05-21,1981.089966
,2013-05-22,1993.829956
,2013-05-23,1969.189941
,2013-05-24,1973.449951
,2013-05-27,1979.969971
,2013-05-28,1986.219971
,2013-05-29,2001.199951
,2013-05-30,2000.099976
,2013-05-31,2001.050049
,2013-06-03,1989.569946
,2013-06-04,1989.51001
,2013-06-05,1959.189941
,2013-06-07,1923.849976
,2013-06-10,1932.699951
,2013-06-11,1920.680054
,2013-06-12,1909.910034
,2013-06-13,1882.72998
,2013-06-14,1889.23999
,2013-06-17,1883.099976
,2013-06-18,1900.619995
,2013-06-19,1888.310059
,2013-06-20,1850.48999
,2013-06-21,1822.829956
,2013-06-24,1799.01001
,2013-06-25,1780.630005
,2013-06-26,1783.449951
,2013-06-27,1834.699951
,2013-06-28,1863.319946
,2013-07-01,1855.72998
,2013-07-02,1855.02002
,2013-07-03,1824.660034
,2013-07-04,1839.140015
,2013-07-05,1833.310059
,2013-07-08,1816.849976
,2013-07-09,1830.349976
,2013-07-10,1824.160034
,2013-07-11,1877.599976
,2013-07-12,1869.97998
,2013-07-15,1875.160034
,2013-07-16,1866.359985
,2013-07-17,1887.48999
,2013-07-18,1875.47998
,2013-07-19,1871.410034
,2013-07-22,1880.349976
,2013-07-23,1904.150024
,2013-07-24,1912.079956
,2013-07-25,1909.609985
,2013-07-26,1910.810059
,2013-07-29,1899.890015
,2013-07-30,1917.050049
,2013-07-31,1914.030029
,2013-08-01,1920.73999
,2013-08-02,1923.380005
,2013-08-05,1916.219971
,2013-08-06,1906.619995
,2013-08-07,1878.329956
,2013-08-08,1883.969971
,2013-08-09,1880.709961
,2013-08-12,1884.829956
,2013-08-13,1913.030029
,2013-08-14,1923.910034
,2013-08-16,1920.109985
,2013-08-19,1917.640015
,2013-08-20,1887.849976
,2013-08-21,1867.459961
,2013-08-22,1849.119995
,2013-08-23,1870.160034
,2013-08-26,1887.859985
,2013-08-27,1885.839966
,2013-08-28,1884.52002
,2013-08-29,1907.540039
,2013-08-30,1926.359985
,2013-09-02,1924.810059
,2013-09-03,1933.73999
,2013-09-04,1933.030029
,2013-09-05,1951.650024
,2013-09-06,1955.310059
,2013-09-09,1974.670044
,2013-09-10,1994.060059
,2013-09-11,2003.849976
,2013-09-12,2004.060059
,2013-09-13,1994.319946
,2013-09-16,2013.369995
,2013-09-17,2005.579956
,2013-09-23,2009.410034
,2013-09-24,2007.099976
,2013-09-25,1998.060059
,2013-09-26,2007.319946
,2013-09-27,2011.800049
,2013-09-30,1996.959961
,2013-10-01,1998.869995
,2013-10-02,1999.469971
,2013-10-04,1996.97998
,2013-10-07,1994.420044
,2013-10-08,2002.76001
,2013-10-10,2001.400024
,2013-10-11,2024.900024
,2013-10-14,2020.27002
,2013-10-15,2040.959961
,2013-10-16,2034.609985
,2013-10-17,2040.609985
,2013-10-18,2052.399902
,2013-10-21,2053.01001
,2013-10-22,2056.120117
,2013-10-23,2035.75
,2013-10-24,2046.689941
,2013-10-25,2034.390015
,2013-10-28,2048.139893
,2013-10-29,2051.76001
,2013-10-30,2059.580078
,2013-10-31,2030.089966
,2013-11-01,2039.420044
,2013-11-04,2025.170044
,2013-11-05,2013.930054
,2013-11-06,2013.670044
,2013-11-07,2004.040039
,2013-11-08,1984.869995
,2013-11-11,1977.300049
,2013-11-12,1995.47998
,2013-11-13,1963.560059
,2013-11-14,1967.560059
,2013-11-15,2005.640015
,2013-11-18,2010.810059
,2013-11-19,2031.640015
,2013-11-20,2017.23999
,2013-11-21,1993.780029
,2013-11-22,2006.22998
,2013-11-25,2015.97998
,2013-11-26,2022.640015
,2013-11-27,2028.810059
,2013-11-28,2045.77002
,2013-11-29,2044.869995
